Substance,Period,Date,Value1,Value2,Value3,Value4
NO,2 24h,31.07.2021,85,125,9,14
NH3,24h,31.07.2021,100,6,15,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,31.07.2021,0,,,
UV,24h,31.07.2021,0,,,
Benzen,24h,,,,,
SO 2,24h,01.04.2019,125,125,8,8
ČAĐ,24h,01.04.2019,50,12,13,14
NO,2 24h,01.04.2019,85,125,22,12
NH3,24h,01.04.2019,100,7,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,01.04.2019,4,,,
UV,24h,01.04.2019,6,,,
Benzen,24h,,,,,
SO 2,24h,02.04.2019,125,125,8,8
ČAĐ,24h,02.04.2019,50,8,7,8
NO,2 24h,02.04.2019,85,125,2,6
NH3,24h,02.04.2019,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,02.04.2019,0,,,
UV,24h,02.04.2019,2,,,
Benzen,24h,,,,,
SO 2,24h,03.04.2019,125,125,8,8
ČAĐ,24h,03.04.2019,50,8,9,5
NO,2 24h,03.04.2019,85,125,9,9
NH3,24h,03.04.2019,100,5,5,
TSP,24h,,120,,,
PM10,24h,31.03.2019,50,75,87,
BC,24h,03.04.2019,0,,,
UV,24h,03.04.2019,1,,,
Benzen,24h,,,,,
SO 2,24h,04.04.2019,125,125,8,8
ČAĐ,24h,04.04.2019,50,7,7,5
NO,2 24h,04.04.2019,85,125,3,8
NH3,24h,04.04.2019,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,04.04.2019,0,,,
UV,24h,04.04.2019,1,,,
Benzen,24h,04.04.2019,,,,
SO 2,24h,05.04.2019,125,125,8,8
ČAĐ,24h,05.04.2019,50,7,9,7
NO,2 24h,05.04.2019,85,125,6,8
NH3,24h,05.04.2019,100,8,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,05.04.2019,2,,,
UV,24h,05.04.2019,2,,,
Benzen,24h,,,,,
SO 2,24h,06.04.2019,125,125,8,8
ČAĐ,24h,06.04.2019,50,4,5,5
NO,2 24h,06.04.2019,85,125,2,7
NH3,24h,06.04.2019,100,5,5,
TSP,24h,,120,,,
PM10,24h,03.04.2019,50,75,85,
BC,24h,06.04.2019,2,,,
UV,24h,06.04.2019,3,,,
Benzen,24h,,,,,
SO 2,24h,07.04.2019,125,125,8,8
ČAĐ,24h,07.04.2019,50,6,10,6
NO,2 24h,07.04.2019,85,125,6,11
NH3,24h,07.04.2019,100,7,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,07.04.2019,2,,,
UV,24h,07.04.2019,5,,,
Benzen,24h,,,,,
SO 2,24h,08.04.2019,125,125,8,8
ČAĐ,24h,08.04.2019,50,11,12,11
NO,2 24h,08.04.2019,85,125,7,15
NH3,24h,08.04.2019,100,9,7,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,08.04.2019,3,,,
UV,24h,08.04.2019,6,,,
Benzen,24h,,,,,
SO 2,24h,09.04.2019,125,125,8,8
ČAĐ,24h,09.04.2019,50,16,11,11
NO,2 24h,09.04.2019,85,125,24,15
NH3,24h,09.04.2019,100,10,9,
TSP,24h,,120,,,
PM10,24h,06.04.2019,50,75,52,
BC,24h,09.04.2019,3,,,
UV,24h,09.04.2019,4,,,
Benzen,24h,,,,,
SO 2,24h,10.04.2019,125,125,8,8
ČAĐ,24h,10.04.2019,50,10,11,8
NO,2 24h,10.04.2019,85,125,11,17
NH3,24h,10.04.2019,100,11,6,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,10.04.2019,2,,,
UV,24h,10.04.2019,3,,,
Benzene,24h,,,2,,
SO 2,24h,11.04.2019,125,125,8,8
ČAĐ,24h,11.04.2019,50,6,6,9
NO,2 24h,11.04.2019,85,125,17,12
NH3,24h,11.04.2019,100,11,6,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,11.04.2019,3,,,
UV,24h,11.04.2019,4,,,
Benzen,24h,,,,,
SO 2,24h,12.04.2019,125,125,8,8
ČAĐ,24h,12.04.2019,50,4,5,6
NO,2 24h,12.04.2019,85,125,11,14
NH3,24h,12.04.2019,100,10,5,
TSP,24h,,120,,,
PM10,24h,09.04.2019,50,75,62,
BC,24h,12.04.2019,2,,,
UV,24h,12.04.2019,3,,,
Benzen,24h,,,,,
SO 2,24h,13.04.2019,125,125,8,8
ČAĐ,24h,13.04.2019,50,11,10,12
NO,2 24h,13.04.2019,85,125,13,11
NH3,24h,13.04.2019,100,10,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,13.04.2019,4,,,
UV,24h,13.04.2019,6,,,
Benzen,24h,,,,,
SO 2,24h,14.04.2019,125,125,8,8
ČAĐ,24h,14.04.2019,50,9,6,10
NO,2 24h,14.04.2019,85,125,12,28
NH3,24h,14.04.2019,100,5,7,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,14.04.2019,3,,,
UV,24h,14.04.2019,4,,,
Benzen,24h,,,,,
SO 2,24h,15.04.2019,125,125,8,8
ČAĐ,24h,15.04.2019,50,15,11,12
NO,2 24h,15.04.2019,85,125,32,21
NH3,24h,15.04.2019,100,9,9,
TSP,24h,,120,,,
PM10,24h,12.04.2019,50,75,17,
BC,24h,15.04.2019,4,,,
UV,24h,15.04.2019,7,,,
Benzen,24h,,,,,
SO 2,24h,16.04.2019,125,125,8,8
ČAĐ,24h,16.04.2019,50,16,12,16
NO,2 24h,16.04.2019,85,125,23,22
NH3,24h,16.04.2019,100,8,6,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,16.04.2019,4,,,
UV,24h,16.04.2019,7,,,
Benzene,24h,,,3,,
SO 2,24h,17.04.2019,125,125,8,8
ČAĐ,24h,17.04.2019,50,8,10,9
NO,2 24h,17.04.2019,85,125,24,24
NH3,24h,17.04.2019,100,9,8,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,17.04.2019,3,,,
UV,24h,17.04.2019,6,,,
Benzen,24h,,,,,
SO 2,24h,18.04.2019,125,125,8,8
ČAĐ,24h,18.04.2019,50,17,14,19
NO,2 24h,18.04.2019,85,125,24,26
NH3,24h,18.04.2019,100,5,5,
TSP,24h,,120,,,
PM10,24h,15.04.2019,50,75,34,
BC,24h,18.04.2019,5,,,
UV,24h,18.04.2019,7,,,
Benzen,24h,,,,,
SO 2,24h,19.04.2019,125,125,8,8
ČAĐ,24h,19.04.2019,50,9,8,7
NO,2 24h,19.04.2019,85,125,27,21
NH3,24h,19.04.2019,100,6,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,19.04.2019,3,,,
UV,24h,19.04.2019,5,,,
Benzen,24h,,,,,
SO 2,24h,20.04.2019,125,125,8,8
ČAĐ,24h,20.04.2019,50,22,16,24
NO,2 24h,20.04.2019,85,125,24,24
NH3,24h,20.04.2019,100,8,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,20.04.2019,5,,,
UV,24h,20.04.2019,7,,,
Benzen,24h,,,,,
SO 2,24h,21.04.2019,125,125,8,8
ČAĐ,24h,21.04.2019,50,22,25,28
NO,2 24h,21.04.2019,85,125,32,36
NH3,24h,21.04.2019,100,7,5,
TSP,24h,,120,,,
PM10,24h,18.04.2019,50,75,43,
BC,24h,21.04.2019,7,,,
UV,24h,21.04.2019,9,,,
Benzen,24h,,,,,
SO 2,24h,22.04.2019,125,125,9,24
ČAĐ,24h,22.04.2019,50,6,8,6
NO,2 24h,22.04.2019,85,125,8,13
NH3,24h,22.04.2019,100,7,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,22.04.2019,2,,,
UV,24h,22.04.2019,4,,,
Benzene,24h,,,2,,
SO 2,24h,23.04.2019,125,125,8,13
ČAĐ,24h,23.04.2019,50,4,5,5
NO,2 24h,23.04.2019,85,125,13,18
NH3,24h,23.04.2019,100,8,6,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,23.04.2019,1,,,
UV,24h,23.04.2019,2,,,
Benzen,24h,,,,,
SO 2,24h,24.04.2019,125,125,8,8
ČAĐ,24h,24.04.2019,50,4,8,4
NO,2 24h,24.04.2019,85,125,5,12
NH3,24h,24.04.2019,100,7,5,
TSP,24h,,120,,,
PM10,24h,21.04.2019,50,75,54,
BC,24h,24.04.2019,1,,,
UV,24h,24.04.2019,1,,,
Benzen,24h,,,,,
SO 2,24h,25.04.2019,125,125,8,8
ČAĐ,24h,25.04.2019,50,5,9,7
NO,2 24h,25.04.2019,85,125,13,14
NH3,24h,25.04.2019,100,11,7,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,25.04.2019,1,,,
UV,24h,25.04.2019,2,,,
Benzen,24h,,,,,
SO 2,24h,26.04.2019,125,125,8,8
ČAĐ,24h,26.04.2019,50,4,6,5
NO,2 24h,26.04.2019,85,125,8,8
NH3,24h,26.04.2019,100,8,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,26.04.2019,1,,,
UV,24h,26.04.2019,2,,,
Benzen,24h,,,,,
SO 2,24h,27.04.2019,125,125,8,8
ČAĐ,24h,27.04.2019,50,4,4,4
NO,2 24h,27.04.2019,85,125,2,3
NH3,24h,27.04.2019,100,12,6,
TSP,24h,,120,,,
PM10,24h,24.04.2019,50,75,50,
BC,24h,27.04.2019,1,,,
UV,24h,27.04.2019,1,,,
Benzen,24h,,,,,
SO 2,24h,28.04.2019,125,125,8,8
ČAĐ,24h,28.04.2019,50,4,7,10
NO,2 24h,28.04.2019,85,125,6,9
NH3,24h,28.04.2019,100,11,6,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,28.04.2019,1,,,
UV,24h,28.04.2019,2,,,
Benzene,24h,,,2,,
SO 2,24h,29.04.2019,125,125,8,8
ČAĐ,24h,29.04.2019,50,4,4,7
NO,2 24h,29.04.2019,85,125,8,5
NH3,24h,29.04.2019,100,6,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,29.04.2019,2,,,
UV,24h,29.04.2019,3,,,
Benzen,24h,,,,,
SO 2,24h,30.04.2019,125,125,8,8
ČAĐ,24h,30.04.2019,50,4,5,8
NO,2 24h,30.04.2019,85,125,2,3
NH3,24h,30.04.2019,100,8,10,
TSP,24h,,120,,,
PM10,24h,27.04.2019,50,75,29,
BC,24h,30.04.2019,1,,,
UV,24h,30.04.2019,2,,,
Benzen,24h,,,,,
SO 2,24h,01.09.2020,125,125,8,8
ČAĐ,24h,01.09.2020,50,4,4,6
NO,2 24h,01.09.2020,85,125,18,12
NH3,24h,01.09.2020,100,11,19,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,01.09.2020,1,,,
UV,24h,01.09.2020,1,,,
Benzene,24h,,,2,,
SO 2,24h,02.09.2020,125,125,8,8
ČAĐ,24h,02.09.2020,50,4,4,8
NO,2 24h,02.09.2020,85,125,22,9
NH3,24h,02.09.2020,100,13,15,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,02.09.2020,2,,,
UV,24h,02.09.2020,3,,,
Benzen,24h,,,,,
SO 2,24h,03.09.2020,125,125,8,8
ČAĐ,24h,03.09.2020,50,4,5,11
NO,2 24h,03.09.2020,85,125,23,13
NH3,24h,03.09.2020,100,12,12,
TSP,24h,,120,,,
PM10,24h,31.08.2020,50,75,25,
BC,24h,03.09.2020,2,,,
UV,24h,03.09.2020,2,,,
Benzen,24h,,,,,
SO 2,24h,04.09.2020,125,125,8,8
ČAĐ,24h,04.09.2020,50,7,8,14
NO,2 24h,04.09.2020,85,125,37,16
NH3,24h,04.09.2020,100,11,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,04.09.2020,2,,,
UV,24h,04.09.2020,3,,,
Benzen,24h,,,,,
SO 2,24h,05.09.2020,125,125,8,8
ČAĐ,24h,05.09.2020,50,8,14,16
NO,2 24h,05.09.2020,85,125,30,25
NH3,24h,05.09.2020,100,12,11,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,05.09.2020,3,,,
UV,24h,05.09.2020,4,,,
Benzen,24h,,,,,
SO 2,24h,06.09.2020,125,125,8,8
ČAĐ,24h,06.09.2020,50,8,15,16
NO,2 24h,06.09.2020,85,125,31,17
NH3,24h,06.09.2020,100,11,11,
TSP,24h,,120,,,
PM10,24h,03.09.2020,50,75,15,
BC,24h,06.09.2020,4,,,
UV,24h,06.09.2020,4,,,
Benzen,24h,,,,,
SO 2,24h,07.09.2020,125,125,8,8
ČAĐ,24h,07.09.2020,50,4,5,7
NO,2 24h,07.09.2020,85,125,20,12
NH3,24h,07.09.2020,100,10,20,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,07.09.2020,2,,,
UV,24h,07.09.2020,2,,,
Benzen,24h,07.09.2020,,,,
SO 2,24h,08.09.2020,125,125,8,8
ČAĐ,24h,08.09.2020,50,5,5,12
NO,2 24h,08.09.2020,85,125,25,11
NH3,24h,08.09.2020,100,11,12,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,08.09.2020,1,,,
UV,24h,08.09.2020,2,,,
Benzen,24h,,,,,
SO 2,24h,09.09.2020,125,125,8,8
ČAĐ,24h,09.09.2020,50,11,18,24
NO,2 24h,09.09.2020,85,125,40,30
NH3,24h,09.09.2020,100,11,14,
TSP,24h,,120,,,
PM10,24h,06.09.2020,50,75,21,
BC,24h,09.09.2020,5,,,
UV,24h,09.09.2020,5,,,
Benzen,24h,,,,,
SO 2,24h,10.09.2020,125,125,8,8
ČAĐ,24h,10.09.2020,50,12,20,34
NO,2 24h,10.09.2020,85,125,43,24
NH3,24h,10.09.2020,100,9,13,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,10.09.2020,5,,,
UV,24h,10.09.2020,5,,,
Benzen,24h,,,,,
SO 2,24h,11.09.2020,125,125,8,8
ČAĐ,24h,11.09.2020,50,6,17,13
NO,2 24h,11.09.2020,85,125,37,29
NH3,24h,11.09.2020,100,11,16,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,11.09.2020,5,,,
UV,24h,11.09.2020,5,,,
Benzen,24h,,,,,
SO 2,24h,12.09.2020,125,125,8,8
ČAĐ,24h,12.09.2020,50,4,15,10
NO,2 24h,12.09.2020,85,125,29,25
NH3,24h,12.09.2020,100,10,16,
TSP,24h,,120,,,
PM10,24h,09.09.2020,50,75,25,
BC,24h,12.09.2020,2,,,
UV,24h,12.09.2020,2,,,
Benzen,24h,,,,,
SO 2,24h,13.09.2020,125,125,8,8
ČAĐ,24h,13.09.2020,50,4,8,25
NO,2 24h,13.09.2020,85,125,32,16
NH3,24h,13.09.2020,100,11,14,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,13.09.2020,5,,,
UV,24h,13.09.2020,5,,,
Benzen,24h,13.09.2020,,,,
SO 2,24h,14.09.2020,125,125,8,8
ČAĐ,24h,14.09.2020,50,4,27,35
NO,2 24h,14.09.2020,85,125,36,21
NH3,24h,14.09.2020,100,14,12,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,14.09.2020,6,,,
UV,24h,14.09.2020,6,,,
Benzen,24h,,,,,
SO 2,24h,15.09.2020,125,125,8,8
ČAĐ,24h,15.09.2020,50,4,10,11
NO,2 24h,15.09.2020,85,125,23,24
NH3,24h,15.09.2020,100,8,14,
TSP,24h,,120,,,
PM10,24h,12.09.2020,50,75,27,
BC,24h,15.09.2020,2,,,
UV,24h,15.09.2020,2,,,
Benzen,24h,,,,,
SO 2,24h,16.09.2020,125,125,8,8
ČAĐ,24h,16.09.2020,50,4,8,5
NO,2 24h,16.09.2020,85,125,22,19
NH3,24h,16.09.2020,100,10,12,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,16.09.2020,1,,,
UV,24h,16.09.2020,1,,,
Benzen,24h,,,,,
SO 2,24h,17.09.2020,125,125,8,8
ČAĐ,24h,17.09.2020,50,4,8,11
NO,2 24h,17.09.2020,85,125,23,17
NH3,24h,17.09.2020,100,12,16,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,17.09.2020,2,,,
UV,24h,17.09.2020,2,,,
Benzen,24h,,,,,
SO 2,24h,18.09.2020,125,125,8,8
ČAĐ,24h,18.09.2020,50,4,4,11
NO,2 24h,18.09.2020,85,125,20,10
NH3,24h,18.09.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,15.09.2020,50,75,22,
BC,24h,18.09.2020,,,,
UV,24h,18.09.2020,,,,
Benzen,24h,,,,,
SO 2,24h,19.09.2020,125,125,8,8
ČAĐ,24h,19.09.2020,50,4,9,11
NO,2 24h,19.09.2020,85,125,19,20
NH3,24h,19.09.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,19.09.2020,1,,,
UV,24h,19.09.2020,2,,,
Benzen,24h,19.09.2020,,,,
SO 2,24h,20.09.2020,125,125,8,8
ČAĐ,24h,20.09.2020,50,4,5,6
NO,2 24h,20.09.2020,85,125,10,13
NH3,24h,20.09.2020,100,5,8,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,20.09.2020,1,,,
UV,24h,20.09.2020,2,,,
Benzen,24h,,,,,
SO 2,24h,21.09.2020,125,125,8,8
ČAĐ,24h,21.09.2020,50,4,13,7
NO,2 24h,21.09.2020,85,125,14,22
NH3,24h,21.09.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,18.09.2020,50,75,24,
BC,24h,21.09.2020,1,,,
UV,24h,21.09.2020,2,,,
Benzen,24h,,,,,
SO 2,24h,22.09.2020,125,125,8,8
ČAĐ,24h,22.09.2020,50,4,10,9
NO,2 24h,22.09.2020,85,125,14,14
NH3,24h,22.09.2020,100,6,8,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,22.09.2020,1,,,
UV,24h,22.09.2020,2,,,
Benzen,24h,,,,,
SO 2,24h,23.09.2020,125,125,8,8
ČAĐ,24h,23.09.2020,50,7,13,10
NO,2 24h,23.09.2020,85,125,24,33
NH3,24h,23.09.2020,100,10,18,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,23.09.2020,1,,,
UV,24h,23.09.2020,2,,,
Benzen,24h,,,,,
SO 2,24h,24.09.2020,125,125,8,8
ČAĐ,24h,24.09.2020,50,14,14,25
NO,2 24h,24.09.2020,85,125,34,25
NH3,24h,24.09.2020,100,10,13,
TSP,24h,,120,,,
PM10,24h,21.09.2020,50,75,29,
BC,24h,24.09.2020,4,,,
UV,24h,24.09.2020,5,,,
Benzen,24h,,,,,
SO 2,24h,25.09.2020,125,125,8,8
ČAĐ,24h,25.09.2020,50,4,6,7
NO,2 24h,25.09.2020,85,125,28,29
NH3,24h,25.09.2020,100,8,11,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,25.09.2020,2,,,
UV,24h,25.09.2020,2,,,
Benzene,24h,,,2,,
SO 2,24h,26.09.2020,125,125,8,8
ČAĐ,24h,26.09.2020,50,4,4,5
NO,2 24h,26.09.2020,85,125,18,23
NH3,24h,26.09.2020,100,9,12,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,26.09.2020,1,,,
UV,24h,26.09.2020,1,,,
Benzen,24h,,,,,
SO 2,24h,27.09.2020,125,125,8,8
ČAĐ,24h,27.09.2020,50,4,4,5
NO,2 24h,27.09.2020,85,125,13,14
NH3,24h,27.09.2020,100,8,16,
TSP,24h,,120,,,
PM10,24h,24.09.2020,50,75,26,
BC,24h,27.09.2020,1,,,
UV,24h,27.09.2020,1,,,
Benzen,24h,,,,,
SO 2,24h,28.09.2020,125,125,8,8
ČAĐ,24h,28.09.2020,50,8,8,15
NO,2 24h,28.09.2020,85,125,17,16
NH3,24h,28.09.2020,100,7,12,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,28.09.2020,1,,,
UV,24h,28.09.2020,2,,,
Benzen,24h,,,,,
SO 2,24h,29.09.2020,125,125,8,8
ČAĐ,24h,29.09.2020,50,5,4,7
NO,2 24h,29.09.2020,85,125,18,12
NH3,24h,29.09.2020,100,9,16,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,29.09.2020,3,,,
UV,24h,29.09.2020,3,,,
Benzen,24h,,,,,
SO 2,24h,30.09.2020,125,125,8,8
ČAĐ,24h,30.09.2020,50,6,6,8
NO,2 24h,30.09.2020,85,125,19,12
NH3,24h,30.09.2020,100,10,19,
TSP,24h,,120,,,
PM10,24h,27.09.2020,50,75,12,
BC,24h,30.09.2020,2,,,
UV,24h,30.09.2020,3,,,
Benzen,24h,,,,,
SO 2,24h,01.04.2024,125,125,8,8
ČAĐ,24h,01.04.2024,50,4,13,
NO,2 24h,01.04.2024,85,85,12,8
NH3,24h,01.04.2024,100,10,13,
PM10,24h,01.04.2024,50,50,71,98
Benzen,24h,01.04.2024,,,,
SO 2,24h,02.04.2024,125,125,8,8
ČAĐ,24h,02.04.2024,50,3,5,
NO,2 24h,02.04.2024,85,85,12,8
NH3,24h,02.04.2024,100,11,17,
PM10,24h,02.04.2024,50,50,30,29
Benzen,24h,,,,,
SO 2,24h,03.04.2024,125,125,8,8
ČAĐ,24h,03.04.2024,50,9,11,
NO,2 24h,03.04.2024,85,85,29,10
NH3,24h,03.04.2024,100,10,15,
PM10,24h,03.04.2024,50,50,20,21
Benzen,24h,,,,,
SO 2,24h,04.04.2024,125,125,8,8
ČAĐ,24h,04.04.2024,50,15,20,
NO,2 24h,04.04.2024,85,85,24,15
NH3,24h,04.04.2024,100,12,14,
PM10,24h,04.04.2024,50,50,26,29
Benzen,24h,,,,,
SO 2,24h,05.04.2024,125,125,8,8
ČAĐ,24h,05.04.2024,50,14,13,
NO,2 24h,05.04.2024,85,85,30,14
NH3,24h,05.04.2024,100,10,10,
PM10,24h,05.04.2024,50,50,30,37
Benzen,24h,,,,,
SO 2,24h,06.04.2024,125,125,8,8
ČAĐ,24h,06.04.2024,50,16,14,
NO,2 24h,06.04.2024,85,85,24,21
NH3,24h,06.04.2024,100,10,10,
PM10,24h,06.04.2024,50,50,42,35
Benzen,24h,,,,,
SO 2,24h,07.04.2024,125,125,8,8
ČAĐ,24h,07.04.2024,50,17,11,
NO,2 24h,07.04.2024,85,85,26,14
NH3,24h,07.04.2024,100,10,12,
PM10,24h,07.04.2024,50,50,30,37
Benzen,24h,07.04.2024,,,,
SO 2,24h,08.04.2024,125,125,8,8
ČAĐ,24h,08.04.2024,50,6,3,
NO,2 24h,08.04.2024,85,85,12,7
NH3,24h,08.04.2024,100,10,22,
PM10,24h,08.04.2024,50,50,31,31
Benzen,24h,,,,,
SO 2,24h,09.04.2024,125,125,8,8
ČAĐ,24h,09.04.2024,50,4,2,
NO,2 24h,09.04.2024,85,85,14,10
NH3,24h,09.04.2024,100,10,10,
PM10,24h,09.04.2024,50,50,21,27
Benzen,24h,,,,,
SO 2,24h,10.04.2024,125,125,8,8
ČAĐ,24h,10.04.2024,50,3,2,
NO,2 24h,10.04.2024,85,85,12,11
NH3,24h,10.04.2024,100,10,10,
PM10,24h,10.04.2024,50,50,29,33
Benzen,24h,,,,,
SO 2,24h,11.04.2024,125,125,8,8
ČAĐ,24h,11.04.2024,50,6,4,
NO,2 24h,11.04.2024,85,85,17,9
NH3,24h,11.04.2024,100,10,10,
PM10,24h,11.04.2024,50,50,34,41
Benzen,24h,,,,,
SO 2,24h,12.04.2024,125,125,8,8
ČAĐ,24h,12.04.2024,50,13,7,
NO,2 24h,12.04.2024,85,85,23,9
NH3,24h,12.04.2024,100,10,10,
PM10,24h,12.04.2024,50,50,47,39
Benzen,24h,,,,,
SO 2,24h,13.04.2024,125,125,8,8
ČAĐ,24h,13.04.2024,50,13,11,
NO,2 24h,13.04.2024,85,85,18,8
NH3,24h,13.04.2024,100,10,10,
PM10,24h,13.04.2024,50,50,30,43
Benzen,24h,13.04.2024,,,,
SO 2,24h,14.04.2024,125,125,8,8
ČAĐ,24h,14.04.2024,50,21,15,
NO,2 24h,14.04.2024,85,85,29,12
NH3,24h,14.04.2024,100,10,24,
PM10,24h,14.04.2024,50,50,29,32
Benzen,24h,,,,,
SO 2,24h,15.04.2024,125,125,8,8
ČAĐ,24h,15.04.2024,50,4,2,
NO,2 24h,15.04.2024,85,85,19,9
NH3,24h,15.04.2024,100,10,15,
PM10,24h,15.04.2024,50,50,28,40
Benzen,24h,,,,,
SO 2,24h,16.04.2024,125,125,8,8
ČAĐ,24h,16.04.2024,50,9,4,
NO,2 24h,16.04.2024,85,85,11,9
NH3,24h,16.04.2024,100,10,10,
PM10,24h,16.04.2024,50,50,35,42
Benzen,24h,,,,,
SO 2,24h,17.04.2024,125,125,8,8
ČAĐ,24h,17.04.2024,50,5,2,
NO,2 24h,17.04.2024,85,85,14,9
NH3,24h,17.04.2024,100,10,10,
PM10,24h,17.04.2024,50,50,8,11
Benzen,24h,,,,,
SO 2,24h,18.04.2024,125,125,8,8
ČAĐ,24h,18.04.2024,50,15,9,
NO,2 24h,18.04.2024,85,85,22,10
NH3,24h,18.04.2024,100,10,10,
PM10,24h,18.04.2024,50,50,18,20
Benzen,24h,,,,,
SO 2,24h,19.04.2024,125,125,8,8
ČAĐ,24h,19.04.2024,50,13,8,
NO,2 24h,19.04.2024,85,85,13,13
NH3,24h,19.04.2024,100,10,10,
PM10,24h,19.04.2024,50,50,26,35
Benzen,24h,19.04.2024,,,,
SO 2,24h,20.04.2024,125,125,8,8
ČAĐ,24h,20.04.2024,50,12,10,
NO,2 24h,20.04.2024,85,85,15,11
NH3,24h,20.04.2024,100,10,10,
PM10,24h,20.04.2024,50,50,24,29
Benzen,24h,,,,,
SO 2,24h,21.04.2024,125,125,8,8
ČAĐ,24h,21.04.2024,50,8,4,
NO,2 24h,21.04.2024,85,85,13,8
NH3,24h,21.04.2024,100,10,10,
PM10,24h,21.04.2024,50,50,14,16
Benzen,24h,,,,,
SO 2,24h,22.04.2024,125,125,8,8
ČAĐ,24h,22.04.2024,50,8,6,
NO,2 24h,22.04.2024,85,85,16,11
NH3,24h,22.04.2024,100,10,10,
PM10,24h,22.04.2024,50,50,17,22
Benzen,24h,,,,,
SO 2,24h,23.04.2024,125,125,8,8
ČAĐ,24h,23.04.2024,50,3,2,
NO,2 24h,23.04.2024,85,85,13,11
NH3,24h,23.04.2024,100,10,10,
PM10,24h,23.04.2024,50,50,14,17
Benzen,24h,,,,,
SO 2,24h,24.04.2024,125,125,8,8
ČAĐ,24h,24.04.2024,50,2,2,
NO,2 24h,24.04.2024,85,85,16,10
NH3,24h,24.04.2024,100,10,10,
PM10,24h,24.04.2024,50,50,11,12
Benzen,24h,,,,,
SO 2,24h,25.04.2024,125,125,8,8
ČAĐ,24h,25.04.2024,50,17,5,
NO,2 24h,25.04.2024,85,85,21,9
NH3,24h,25.04.2024,100,10,10,
PM10,24h,25.04.2024,50,50,29,33
Benzen,24h,25.04.2024,,,,
SO 2,24h,26.04.2024,125,125,8,8
ČAĐ,24h,26.04.2024,50,21,16,
NO,2 24h,26.04.2024,85,85,41,29
NH3,24h,26.04.2024,100,10,10,
PM10,24h,26.04.2024,50,50,37,39
Benzen,24h,,,,,
SO 2,24h,27.04.2024,125,125,8,8
ČAĐ,24h,27.04.2024,50,8,7,
NO,2 24h,27.04.2024,85,85,27,22
NH3,24h,27.04.2024,100,10,10,
PM10,24h,27.04.2024,50,50,16,19
Benzen,24h,,,,,
SO 2,24h,28.04.2024,125,125,8,8
ČAĐ,24h,28.04.2024,50,2,2,
NO,2 24h,28.04.2024,85,85,12,12
NH3,24h,28.04.2024,100,23,10,
PM10,24h,28.04.2024,50,50,18,20
Benzen,24h,,,,,
SO 2,24h,29.04.2024,125,125,8,8
ČAĐ,24h,29.04.2024,50,4,5,
